,title,total_sales,japan_sales,na_sales,pal_sales,other_sales,platform,developer
22,Grand Theft Auto: Vice City,16.15,0.47,8.41,5.49,1.78,PS2,Rockstar North
28,Grand Theft Auto V,15.86,0.06,9.06,5.33,1.42,X360,Rockstar North
35,Call of Duty: Black Ops 3,15.09,0.41,6.18,6.05,2.44,PS4,Treyarch
63,Grand Theft Auto V,20.32,0.99,6.37,9.85,3.12,PS3,Rockstar North
71,Call of Duty: Black Ops,12.67,0.48,6.01,4.4,1.78,PS3,Treyarch
115,FIFA 17,10.94,0.12,1.26,7.95,1.61,PS4,EA Canada
122,Grand Theft Auto V,19.39,0.6,6.06,9.71,3.02,PS4,Rockstar North
131,Call of Duty: Modern Warfare 2,10.61,0.38,4.99,3.66,1.59,PS3,Infinity Ward
132,Grand Theft Auto IV,10.57,0.44,4.79,3.73,1.62,PS3,Rockstar North
144,FIFA 18,11.8,0.15,1.27,8.64,1.73,PS4,EA Vancouver
149,Call of Duty: Ghosts,10.41,0.04,6.76,2.64,0.98,X360,Infinity Ward
158,Call of Duty: Ghosts,10.13,0.39,4.11,4.01,1.62,PS3,Infinity Ward
170,Grand Theft Auto IV,11.09,0.14,6.8,3.11,1.04,X360,Rockstar North
305,Call of Duty: Modern Warfare 3,14.82,0.13,9.07,4.29,1.33,X360,Infinity Ward
308,Call of Duty: Black Ops,14.74,0.11,9.76,3.73,1.14,X360,Treyarch
325,Red Dead Redemption 2,13.94,0.21,5.26,6.21,2.26,PS4,Rockstar Games
326,Call of Duty: Black Ops II,13.86,0.07,8.27,4.32,1.2,X360,Treyarch
327,Call of Duty: Black Ops II,13.8,0.65,4.99,5.88,2.28,PS3,Treyarch
329,Call of Duty: Modern Warfare 2,13.53,0.08,8.54,3.63,1.28,X360,Infinity Ward
333,Call of Duty: WWII,13.4,0.4,4.67,6.21,2.12,PS4,Sledgehammer Games
335,Call of Duty: Modern Warfare 3,13.35,0.49,5.54,5.78,1.54,PS3,Infinity Ward
340,Grand Theft Auto III,13.1,0.3,6.99,4.51,1.3,PS2,DMA Design
405,Grand Theft Auto V,8.72,0.01,4.7,3.25,0.76,XOne,Rockstar North
415,Call of Duty: Infinite Warfare,8.48,0.19,3.11,3.83,1.36,PS4,Infinity Ward
416,Fallout 4,8.48,0.27,2.91,3.97,1.34,PS4,Bethesda Game Studios
420,FIFA 16,8.22,0.07,1.15,5.77,1.23,PS4,EA Canada
425,Star Wars Battlefront (2015),8.03,0.23,3.31,3.19,1.3,PS4,EA DICE
426,FIFA 13,8.01,0.13,1.07,5.13,1.68,PS3,EA Canada
451,Halo: Reach,9.97,0.08,7.08,2.01,0.8,X360,Bungie
456,Halo 4,9.96,0.04,6.72,2.36,0.83,X360,343 Industries
469,The Sims 3,7.96,,1.01,6.46,0.5,PC,EA Redwood Shores
472,Call of Duty 4: Modern Warfare,9.41,0.13,5.98,2.39,0.91,X360,Infinity Ward
477,Call of Duty: Black Ops IIII,9.32,0.5,4.05,3.28,1.49,PS4,Treyarch
480,Grand Theft Auto: Liberty City Stories,7.72,0.24,2.9,2.83,1.74,PSP,Rockstar Leeds
486,FIFA 19,9.15,0.1,0.84,6.87,1.34,PS4,EA Sports
499,The Elder Scrolls V: Skyrim,8.88,0.1,5.1,2.83,0.85,X360,Bethesda Game Studios
509,Call of Duty: Advanced Warfare,7.53,0.14,2.84,3.34,1.22,PS4,Sledgehammer Games
511,Call of Duty: World at War,7.5,,4.88,1.91,0.71,X360,Treyarch
519,Call of Duty: Black Ops 3,7.37,0.02,4.63,2.04,0.68,XOne,Treyarch
520,Battlefield 3,7.35,0.06,4.47,2.12,0.69,X360,Dice
525,Battlefield 1,7.26,0.29,2.2,3.65,1.12,PS4,EA DICE
526,Battlefield 3,7.21,0.35,2.86,2.94,1.07,PS3,Dice
528,Need for Speed Underground,7.2,0.08,3.27,2.83,1.02,PS2,EA Black Box
559,Need for Speed Underground 2,6.9,0.08,2.71,3.02,1.09,PS2,EA Black Box
560,Just Dance 4,6.89,,4.05,2.21,0.62,Wii,Ubisoft
563,Medal of Honor: Frontline,6.83,0.17,2.93,2.75,0.99,PS2,EA Los Angeles
567,Uncharted 2: Among Thieves,6.74,0.21,3.28,2.22,1.02,PS3,Naughty Dog
569,Call of Duty 4: Modern Warfare,6.72,0.28,3.13,2.27,1.04,PS3,Infinity Ward
574,FIFA Soccer 12,6.65,0.11,0.84,4.33,1.37,PS3,EA Canada
575,FIFA 14,6.61,0.07,0.79,4.77,0.98,PS3,EA Canada
578,Red Dead Redemption,6.57,0.17,2.82,2.58,1.0,PS3,Rockstar San Diego
582,Assassin's Creed III,6.5,0.16,2.65,2.61,1.08,PS3,Ubisoft Montreal
589,Red Dead Redemption,6.5,0.09,3.77,2.03,0.6,X360,Rockstar San Diego
590,The Elder Scrolls V: Skyrim,6.49,0.25,2.57,2.68,0.99,PS3,Bethesda Game Studios
599,Minecraft,6.33,0.35,1.89,3.13,0.96,PS4,Mojang
600,FIFA 15,6.32,0.05,0.83,4.49,0.94,PS4,EA Canada
604,Driver,6.27,0.02,3.11,2.8,0.33,PS,Reflections Interactive
605,Call of Duty: WWII,6.23,,3.75,1.91,0.57,XOne,Sledgehammer Games
610,Minecraft,6.05,,2.21,2.86,0.99,PS3,Mojang
654,Red Dead Redemption 2,5.77,,3.76,1.47,0.54,XOne,Rockstar Games
655,Destiny,5.76,0.16,2.53,2.13,0.94,PS4,Bungie
656,Tekken 2,5.74,1.36,2.26,1.89,0.23,PS,Namco
660,Uncharted: The Nathan Drake Collection,5.7,0.1,2.55,2.11,0.94,PS4,Bluepoint Games
663,LEGO Star Wars: The Complete Saga,5.66,,3.57,1.57,0.52,Wii,Traveller's Tales
664,Cooking Mama,5.66,0.07,3.09,1.92,0.58,DS,Office Create
668,Assassin's Creed II,5.57,0.21,2.54,1.95,0.86,PS3,Ubisoft Montreal
671,Assassin's Creed,5.55,0.07,3.28,1.64,0.56,X360,Ubisoft Montreal
672,Batman: Arkham City,5.54,0.11,2.72,1.89,0.82,PS3,Rocksteady Studios
673,Forza Motorsport 3,5.5,0.1,2.99,1.9,0.51,X360,Turn 10 Studios
685,Minecraft,5.43,,3.23,1.71,0.49,XOne,Mojang
686,Call of Duty: World at War,5.43,,2.75,1.84,0.84,PS3,Treyarch
688,Crash Bandicoot: The Wrath of Cortex,5.42,0.24,2.07,2.29,0.82,PS2,Traveller's Tales
692,Final Fantasy XIII,5.35,1.87,1.75,1.23,0.51,PS3,Square Enix
695,Assassin's Creed III,5.31,0.03,3.13,1.71,0.45,X360,Ubisoft Montreal
697,Assassin's Creed II,5.3,0.08,3.14,1.55,0.52,X360,Ubisoft Montreal
703,Tomb Raider II,5.24,0.2,2.3,2.46,0.28,PS,Core Design Ltd.
705,Madden NFL 2004,5.23,0.01,4.26,0.26,0.71,PS2,EA Tiburon
708,Call of Duty: Advanced Warfare,5.22,0.01,3.25,1.49,0.48,XOne,Sledgehammer Games
717,Medal of Honor: Rising Sun,5.13,0.13,1.98,2.23,0.8,PS2,EA Los Angeles
718,Battlefield 1,5.13,0.02,3.37,1.26,0.48,XOne,EA DICE
720,Microsoft Flight Simulator,5.12,,3.22,1.69,0.2,PC,Microsoft
721,Guitar Hero II,5.12,,3.81,0.63,0.68,PS2,Harmonix Music Systems
722,FIFA 13,5.11,0.03,1.1,3.49,0.5,X360,EA Canada
723,Resident Evil 5,5.1,1.08,1.96,1.42,0.64,PS3,Capcom
724,Fable III,5.1,0.05,3.59,1.09,0.37,X360,Lionhead Studios
726,Mario & Sonic at the Olympic Games,5.1,0.44,1.63,2.46,0.57,DS,Sega
729,Grand Theft Auto: Vice City Stories,5.08,0.16,1.7,2.03,1.19,PSP,Rockstar Leeds
730,FIFA Soccer 11,5.08,0.06,0.61,3.28,1.12,PS3,EA Canada
732,Final Fantasy XV,5.07,1.05,1.81,1.53,0.68,PS4,Square Enix
736,Fallout 4,5.03,0.02,2.94,1.62,0.45,XOne,Bethesda Game Studios
737,Tony Hawk's Pro Skater,5.02,0.02,3.42,1.38,0.2,PS,Neversoft Entertainment
738,Warzone 2100,5.01,,2.79,1.89,0.33,PS,Pumpkin Studios
780,Guitar Hero III: Legends of Rock,4.98,0.01,3.49,0.01,1.48,PS2,BudCat Creations
781,Uncharted: Drake's Fortune,4.97,0.12,2.32,1.73,0.8,PS3,Naughty Dog
784,Fallout 3,4.96,0.09,3.41,0.99,0.46,X360,Bethesda Game Studios
788,Madden NFL 06,4.91,0.01,3.98,0.26,0.66,PS2,EA Tiburon
795,Call of Duty: Black Ops IIII,4.85,,3.27,1.12,0.46,XOne,Treyarch
798,Crash Bandicoot N. Sane Trilogy,4.83,0.07,1.09,2.92,0.74,PS4,Vicarious Visions
799,Assassin's Creed,4.83,0.09,1.91,2.01,0.82,PS3,Ubisoft Montreal
801,Call of Duty: Infinite Warfare,4.79,,2.91,1.44,0.44,XOne,Infinity Ward
802,Crash Team Racing,4.79,0.44,2.57,1.57,0.21,PS,Naughty Dog
803,LEGO Star Wars: The Complete Saga,4.77,,2.83,1.49,0.45,DS,Traveller's Tales
805,Batman: Arkham City,4.75,0.04,2.99,1.28,0.44,X360,Rocksteady Studios
807,Driver 2,4.73,0.02,2.36,2.1,0.25,PS,Reflections Interactive
808,The Simpsons: Hit & Run,4.7,,1.73,2.19,0.79,PS2,Radical Entertainment
811,Tony Hawk's Pro Skater 2,4.68,0.02,3.05,1.41,0.2,PS,Neversoft Entertainment
814,The Lord of the Rings: The Two Towers,4.67,0.08,1.94,1.95,0.7,PS2,Stormfront Studios
815,Tomb Raider,4.63,0.13,2.29,1.97,0.24,PS,Core Design Ltd.
819,Forza Motorsport 4,4.6,0.06,2.08,1.98,0.49,X360,Turn 10 Studio
821,Guitar Hero III: Legends of Rock,4.6,,3.04,1.12,0.44,Wii,Vicarious Visions
825,FIFA 15,4.56,0.04,0.59,3.25,0.68,PS3,EA Canada
826,Mario & Sonic at the Olympic Winter Games,4.54,0.22,1.87,1.97,0.48,Wii,Sega
827,Overwatch,4.54,0.17,1.84,1.8,0.73,PS4,Blizzard Entertainment
828,Madden NFL 2005,4.53,0.01,4.18,0.26,0.08,PS2,EA Tiburon
829,Guitar Hero III: Legends of Rock,4.53,0.01,3.19,0.91,0.42,X360,Neversoft
830,Star Wars Battlefront II (2017),4.53,0.12,1.7,1.99,0.73,PS4,EA DICE
853,Spider-Man: The Movie,4.48,0.03,2.71,1.51,0.23,PS2,Treyarch
854,The Elder Scrolls IV: Oblivion,4.47,0.13,2.89,1.03,0.41,X360,Bethesda Softworks
856,Tony Hawk's Pro Skater 3,4.41,0.01,2.66,1.29,0.46,PS2,Neversoft Entertainment
858,Winning Eleven: Pro Evolution Soccer 2007,4.39,1.05,0.1,2.39,0.86,PS2,Konami Computer Entertainment Tokyo
860,Michael Jackson: The Experience,4.37,0.01,2.64,1.33,0.39,Wii,Ubisoft Montpellier
861,Tom Clancy's The Division,4.37,0.16,1.49,2.04,0.69,PS4,Massive Entertainment
862,Need for Speed: Most Wanted,4.37,0.08,2.03,1.79,0.47,PS2,EA Canada
863,Tom Clancy's Rainbow Six: Siege,4.36,0.36,1.29,2.06,0.64,PS4,Ubisoft Montreal
864,Call of Duty: Advanced Warfare,4.34,,2.81,1.13,0.41,X360,High Moon Studios
865,Watch Dogs,4.32,0.11,1.4,2.13,0.68,PS4,Ubisoft Montreal
868,Asteroids,4.31,,4.0,0.26,0.05,2600,Atari
872,Batman: Arkham Asylum,4.28,0.07,2.26,1.33,0.63,PS3,Rocksteady Studios
874,Call of Duty: Advanced Warfare,4.27,0.2,1.59,1.81,0.67,PS3,High Moon Studios
877,Namco Museum,4.24,0.05,3.0,1.11,0.07,GBA,Mass Media
879,Destiny 2,4.14,0.1,1.92,1.44,0.69,PS4,Bungie
880,Assassin's Creed: Revelations,4.23,0.1,1.41,2.03,0.69,PS3,Ubisoft Montreal
881,Assassin's Creed: Revelations,4.22,0.04,2.28,1.47,0.44,X360,Ubisoft Montreal
883,FIFA Soccer 06,4.21,0.04,0.78,2.55,0.84,PS2,EA Canada
892,Street Fighter IV,4.19,0.59,2.04,1.05,0.52,PS3,Capcom / Dimps Corporation
894,FIFA Soccer 12,4.18,0.02,0.85,2.79,0.52,X360,EA Canada
